"company_id","pretty_name"
REALIDADE,Instituto Realidade
VOX POPULI,Vox Populi
GERP,Gerp
MULTIPLA,Múltipla Pesquisa (PE)
MULTIDADOS,Multidados
PROMIDIA,Promídia
FUTURA,Futura
RANKING,Ranking Pesquisa
DGABC,DGABC Pesquisas
DATAMETRICA,Datamétrica
ARBEIT,Arbeit Pesquisas
AGORASEI,Agorasei Pesquisa
LONDON,London Pesquisas
AMPLACE,Ampla Pesquisa (CE)
TDL,TDL Pesquisa
ANGULO,Ângulo Pesquisas
SUDOESTE,Jornal Sudoeste (BA)
TENDENCIAMS,Tendência Pesquisa (MS)
GAUSS,Instituto Gauss
ALVO,Alvo Marketing (PA)
VOGA,Voga Pesquisas
NILTON,Govnet/Instituto Opinião (SP)
"07630546000175",Datafolha
"68802370000186",Ibope
"81908345000140",Paraná Pesquisas
"00654576000172",Veritá
"07317438000147",Doxa
"40808743000107",Perfil Pesquisas Técnicas (RN)
"28500023000184",Enquet Pesquisas
"06270812000133",Instituto de Pesquisa Resultado (MS)
"05833992000151",Data M
"06271706000174",Access
"07596217000155",Fonte Real
"03303870000128",Exata Op (DF)
"03568752000141",Empresa de Pesquisas Técnicas
"03683644000110",Conpar
"06972255000100",Inerpes
"15422597000130",Veiga Consultoria e Pesquisa
"22675543000141",Estimativa
"39253182000148",GPP
"84480946000192",D M Duarte
"10783981000144",Instituto Seta
"86849395000117",Sensus
"63581458000100",Exata Pesquisa (MA)
"00481961000165",Radar Inteligência
"02503309000120",Comunicare
"05850850000100",Fortiori
"03973340000197",Real Dados
"05023065000176",Gazeta Dados
"11849437000110",Ipespe
"09636807000190",Data AZ
"11267907000138",Regional Mídias
"15563771000164",Instituto Credibilidade
"10175063000132",IRG Consultoria
"29842579000111",Real Time Big Data
"04843093000177",Consult Pesquisa (RN)
"04942645000102",J. J. Coelho
"19812752000185",Brasil Dados
"00853528000103",Instituto Methodus
"02678167000131",Serpes
"03127619000150",Certus
"02943355000140",Ibrape (MS)
"11159115000140",Instituto Econométrica
"22642565000105",CP2 Pesquisa
"04967411000101",IBPS
"07608537000188",Instituto Galaxy
"25240253000163",Instituto Datailha
"01403730000104",EPP
"03011668000122",Mark Instituto de Pesquisa
"11262311000145",FLS Pesquisa
"24899123000174",Instituto França
"19090489000168",MDA
"36781946000180",IPEMS
"07278993000107",Instituto Visão (PR)
"03042195000120",UP Pesquisas
"04994119000188",Opinião Pesquisas (PB)
"10735713000157",Index Pesquisas
"15063483000140",Dataplan
"02501289000158",Opinião Consultoria (DF)
"08984712000102",Delta Agência de Pesquisa
"01096445000180",Grupo M
"10320257000184",Instituto Amostragem
"06195852000168",Data Vox
"08438497000136",BR Marketing
"33403221000160",Dados Folha (GO)
"13102873000157",Vale Consultoria
"04717077000138",Acertar
"14614894000114",Pontual Pesquisas
"10599874000160",Top Midia News
"09256171000150",IPC
"19190101000109",Opinar Pesquisas
"10340949000194",Instituto Opinião (PR)
"22889875000129",Consulte Inteligência (PI)
"08057107000188",Instituto Jales
"03155494000171",MAS Opinião
"14888537000144",Instituto Vope
"86951993000100",Jornal Stylo
"10501739000130",Folha Capital
"08210871000141",Âncora Pesquisa (Salvador/BA)
"04061427000150",Folha Regional (Livramento)
"10335763000147",Práxis Pesquisa
"11100635000187",MT Dados
"08980670000123",IDESA
"09116552000134",Merita Comunicações
"15484760000199",Coronato Produções
"11186543000161",Datamax
"20252668000133",Directa Pesquisa
"03079221000195",DMP
"15602816000162",Dataform
"03830371000199",Imagem Comunicação (Ipatinga)
"05234994000124",Leia Tudo
"00905916000190",MBO
"06183431000117",Interpreta
"11400305000107",Voice Pesquisas (MT)
"07268073000108",Sebram
"10956929000142",Datavox (PB)
"03688568000135",Tecnodados
"03846350000161",Alternativa Dados
"19217115000160",Pro 4 Pesquisa
"13358105000169",6 Sigma
"14538940000143",Dados Pesquisa (GO)
"13456969000113",Evidência Comunicação
"14266926000138",INOP
"08691707000101",Compet
"14717260000197",Prever Pesquisas
"25999377000127",Foccus
"09028982000102",Ver Pesquisa
"24314181000199",Valle Pesquisas
"96508015000134",Limite Pesquisas
"10713151000140",Contatus Comunicações
"04453641000152",Datasonda
"01217178000151",BMO
"14205224000144",Nexus
"08581382000104",Instituto Soberano
"05260271000108",ITI
"06859792000130",Pop Pesquisas
"18237296000124",Incope
"08716449000162",Memento
"13098271000173",Polo Pesquisas
"10892795000143",Escutec
"11047803000118",Sinfor
"10383383000188",Sensor Pesquisas
"03896981000195",Cooperfil
"08624076000108",Plataforma 4
"09434008000130",Perfil Pesquisas (SP)
"11716486000185",Captavox
"14853122000135",Ebrap
"07871966000143",AP Pesquisas
"15293191000102",W J Mendes
"94908951000107",Dirceu F M Gomes
"10905523000130",Atual Pesquisas
"13483729000108",Foco Pesquisas (SC)
"61466926000161",Sudoeste do Estado (SP)
"09334545000109",Andreia Rafael Publicidade
